shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,40.66602448,-73.7307989,447
1,40.66602528,-73.73007798,448
1,40.66602655,-73.72935706,449
1,40.6660282,-73.72863614,450
1,40.66603003,-73.72791522,451
1,40.6660308,-73.7271943,452
1,40.66603156,-73.72647338,453
1,40.66603276,-73.72575246,454
1,40.66603424,-73.72503154,455
1,40.66603593,-73.72431062,456
1,40.66603703,-73.7235897,457
1,40.66603272,-73.72286883,458
1,40.66601114,-73.72214862,459
1,40.66596093,-73.72143097,460
1,40.66588276,-73.72071759,461
1,40.66577636,-73.72001054,462
1,40.66564189,-73.71931183,463
1,40.66548019,-73.71862311,464
1,40.66529812,-73.71794307,465
1,40.66511302,-73.71726437,466
1,40.66492527,-73.71658694,467
1,40.66473705,-73.71590973,468
1,40.6645487,-73.71523258,469
1,40.66436035,-73.71455544,470
1,40.66417199,-73.7138783,471
1,40.66398363,-73.71320117,472
1,40.66379545,-73.71252395,473
1,40.66360699,-73.71184687,474
1,40.66341789,-73.7111701,475
1,40.66323087,-73.71049233,476
1,40.66304303,-73.70981496,477
1,40.66285391,-73.7091382,478
1,40.66266528,-73.70846121,479
1,40.66247749,-73.70778381,480
1,40.66228937,-73.70710658,481
1,40.66210047,-73.70642972,482
1,40.66191177,-73.70575277,483
1,40.66172416,-73.7050753,484
1,40.66162725,-73.70472511,485
1,40.66150064,-73.70456714,486
1,40.66131191,-73.70389021,487
1,40.66112488,-73.70321247,488
1,40.66093767,-73.70253482,489
1,40.66074957,-73.70185759,490
1,40.6605616,-73.7011803,491
1,40.66037873,-73.70050076,492
1,40.66021347,-73.69981345,493
1,40.66005586,-73.69912325,494
1,40.65988194,-73.69844006,495
1,40.65969424,-73.69776266,496
1,40.65950521,-73.69708589,497
1,40.65931692,-73.69640877,498
1,40.65912951,-73.69573124,499
1,40.65894968,-73.69505021,500
1,40.6587859,-73.69436232,501
1,40.65864156,-73.69366692,502
1,40.65851544,-73.69296546,503
1,40.65840799,-73.69225865,504
1,40.65831351,-73.6915486,505
1,40.65822661,-73.69083686,506
1,40.65814054,-73.69012493,507
1,40.65805472,-73.68941296,508
1,40.65796908,-73.68870095,509
1,40.65788358,-73.68798891,510
1,40.65779783,-73.68727693,511
1,40.65771169,-73.68656502,512
1,40.65762542,-73.68585315,513
1,40.65753892,-73.68514132,514
1,40.65745234,-73.68442951,515
1,40.65736456,-73.68371796,516
1,40.65727304,-73.68300722,517
1,40.65717748,-73.68229743,518
1,40.65707574,-73.68158909,519
1,40.65697334,-73.68088092,520
1,40.65686229,-73.68017504,521
1,40.65674428,-73.67947108,522
1,40.65662357,-73.6787679,523
1,40.65650256,-73.67806481,524
1,40.65638144,-73.67736175,525
1,40.65626028,-73.67665871,526
1,40.65613902,-73.6759557,527
1,40.65601755,-73.67525275,528
1,40.65589592,-73.67454985,529
1,40.65577636,-73.67384635,530
1,40.65567239,-73.67313893,531
1,40.65560342,-73.6724241,532
1,40.65557509,-73.67170468,533
1,40.65558756,-73.67098444,534
1,40.65564113,-73.67026743,535
1,40.65573356,-73.66955718,536
1,40.65584322,-73.66885091,537
1,40.65595536,-73.6681453,538
