"Indicator.Name","Period.Month","Period.Year","YTD.Target","YTD.Actual","Monthly.Target","Monthly.Actual","Period","Month_Name"
"Far Rockaway",3,2014,95.1,95,95.1,96.7,"2014-03","March"
"Far Rockaway",2,2014,95.1,94.1,95.1,94.8,"2014-02","February"
"Far Rockaway",1,2014,95.1,93.6,95.1,93.6,"2014-01","January"
"Far Rockaway",12,2013,95.1,96.7,95.1,96.2,"2013-12","December"
"Far Rockaway",11,2013,95.1,96.7,95.1,96.3,"2013-11","November"
"Far Rockaway",10,2013,95.1,96.8,95.1,98.3,"2013-10","October"
"Far Rockaway",9,2013,95.1,96.6,95.1,97.4,"2013-09","September"
"Far Rockaway",8,2013,95.1,96.5,95.1,96,"2013-08","August"
"Far Rockaway",7,2013,95.1,96.5,95.1,96.4,"2013-07","July"
"Far Rockaway",6,2013,95.1,96.6,95.1,97.5,"2013-06","June"
"Far Rockaway",5,2013,95.1,96.4,95.1,95.9,"2013-05","May"
"Far Rockaway",4,2013,95.1,96.5,95.1,97.3,"2013-04","April"
"Far Rockaway",3,2013,95.1,96.2,95.1,95.5,"2013-03","March"
"Far Rockaway",2,2013,95.1,96.6,95.1,96.8,"2013-02","February"
"Far Rockaway",1,2013,95.1,96.4,95.1,96.4,"2013-01","January"
"Far Rockaway",12,2012,95.1,97,95.1,95.2,"2012-12","December"
"Far Rockaway",11,2012,95.1,97.2,95.1,92.3,"2012-11","November"
"Far Rockaway",10,2012,95.1,97.6,95.1,98.2,"2012-10","October"
"Far Rockaway",9,2012,95.1,97.6,95.1,98.9,"2012-09","September"
"Far Rockaway",8,2012,95.1,97.4,95.1,96.1,"2012-08","August"
"Far Rockaway",7,2012,95.1,97.6,95.1,97,"2012-07","July"
"Far Rockaway",6,2012,95.1,97.7,95.1,96,"2012-06","June"
"Far Rockaway",5,2012,95.1,98,95.1,98.1,"2012-05","May"
"Far Rockaway",4,2012,95.1,98,95.1,97.9,"2012-04","April"
"Far Rockaway",3,2012,95.1,98.1,95.1,97.2,"2012-03","March"
"Far Rockaway",2,2012,95.1,98.5,95.1,98.5,"2012-02","February"
"Far Rockaway",1,2012,95.1,98.5,95.1,98.5,"2012-01","January"
"Far Rockaway",12,2011,95.1,96.6,95.1,98.1,"2011-12","December"
"Far Rockaway",11,2011,95.1,96.5,95.1,98,"2011-11","November"
"Far Rockaway",10,2011,95.1,96.3,95.1,97.6,"2011-10","October"
"Far Rockaway",9,2011,95.1,96.2,95.1,94.4,"2011-09","September"
"Far Rockaway",8,2011,95.1,96.4,95.1,93.1,"2011-08","August"
"Far Rockaway",7,2011,95.1,96.9,95.1,97.3,"2011-07","July"
"Far Rockaway",6,2011,95.1,96.8,95.1,95.8,"2011-06","June"
"Far Rockaway",5,2011,95.1,97.1,95.1,97.2,"2011-05","May"
"Far Rockaway",4,2011,95.1,97,95.1,98,"2011-04","April"
"Far Rockaway",3,2011,95.1,96.7,95.1,98,"2011-03","March"
"Far Rockaway",2,2011,95.1,95.9,95.1,97.4,"2011-02","February"
"Far Rockaway",1,2011,95.1,94.6,95.1,94.6,"2011-01","January"
"Far Rockaway",12,2010,95.1,96.3,95.1,95.6,"2010-12","December"
"Far Rockaway",11,2010,95.1,96.2,95.1,98.3,"2010-11","November"
"Far Rockaway",10,2010,95.1,96,95.1,95,"2010-10","October"
"Far Rockaway",9,2010,95.1,96.1,95.1,96.4,"2010-09","September"
"Far Rockaway",8,2010,95.1,96,95.1,90.7,"2010-08","August"
"Far Rockaway",7,2010,95.1,96.8,95.1,96.3,"2010-07","July"
"Far Rockaway",6,2010,95.1,96.9,95.1,97.4,"2010-06","June"
"Far Rockaway",5,2010,95.1,96.8,95.1,97.9,"2010-05","May"
"Far Rockaway",4,2010,95.1,96.5,95.1,96.5,"2010-04","April"
"Far Rockaway",3,2010,95.1,96.6,95.1,93.3,"2010-03","March"
"Far Rockaway",2,2010,95.1,98.4,95.1,97.6,"2010-02","February"
"Far Rockaway",1,2010,95.1,99,95.1,99,"2010-01","January"
"Far Rockaway",12,2009,0,98,0,96.3,"2009-12","December"
